Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	2193.0	1841.0	1739.0	1208.0	877.0	1244.0	1130.0	1039.0	967.0	894.0	817.0	738.0	1159.0	1176.0	1126.0	1198.0	1244.0	1361.0	1358.0	1498.0	1675.0	1625.0	1776.0	1814.0	1796.0	1783.0	1766.0	1767.0	1746.0
Albania	4415.0	3138.0	2857.0	3261.0	3600.0	4168.0	4594.0	4112.0	4530.0	5141.0	5562.0	6093.0	6358.0	6760.0	7147.0	7557.0	8125.0	8671.0	9199.0	9376.0	9828.0	10210.0	10293.0	10669.0	10797.0	11098.0	11534.0	11831.0	12300.0
Algeria	9989.0	9457.0	9462.0	9171.0	8847.0	8904.0	9069.0	9099.0	9502.0	9596.0	9700.0	10130.0	10447.0	11068.0	11305.0	11595.0	11734.0	12419.0	12640.0	12602.0	12946.0	12908.0	12910.0	12946.0	13169.0	13330.0	13832.0	13656.0	13639.0
Andorra	49062.0	48391.0	47002.0	44928.0	44747.0	45136.0	46861.0	51136.0	52922.0	54896.0	44215.0	44886.0	45943.0	49328.0	50968.0	52917.0	53867.0	52786.0	47574.0	45492.0	43061.0	41402.0	41386.0	42376.0	44197.0	45260.0	46553.0	47550.0	48641.0
Angola	4139.0	4528.0	1737.0	1704.0	1304.0	2858.0	2826.0	3335.0	3269.0	2952.0	3092.0	3268.0	3904.0	3924.0	4130.0	4516.0	4751.0	5327.0	5437.0	5863.0	5818.0	5796.0	6128.0	6294.0	6484.0	6440.0	6051.0	5950.0	5555.0
Antigua and Barbuda	15749.0	16439.0	16475.0	17300.0	18021.0	16842.0	17665.0	18401.0	18943.0	19230.0	19676.0	18853.0	18396.0	19378.0	20145.0	21315.0	23686.0	25479.0	24945.0	21655.0	20096.0	19264.0	19529.0	19276.0	19780.0	20279.0	20909.0	21349.0	22201.0
Argentina	10932.0	11902.0	12816.0	13774.0	14371.0	13742.0	14297.0	15263.0	15619.0	14903.0	14617.0	13791.0	11841.0	12910.0	12911.0	13886.0	16185.0	17586.0	18137.0	16791.0	18279.0	19251.0	18940.0	19228.0	18562.0	18901.0	18249.0	18462.0	17611.0
Armenia	3600.0	3327.0	1649.0	1691.0	1988.0	2167.0	2403.0	2595.0	2725.0	2827.0	3006.0	3325.0	3814.0	4358.0	4822.0	5600.0	6426.0	7425.0	8045.0	6811.0	7061.0	7269.0	7793.0	8169.0	8301.0	8482.0	8310.0	9064.0	9277.0
Australia	27679.0	27203.0	27159.0	28112.0	28942.0	29524.0	30234.0	31130.0	32284.0	33555.0	34533.0	34748.0	35729.0	36308.0	37314.0	37669.0	38060.0	39025.0	39780.0	39939.0	39982.0	40281.0	41566.0	42201.0	42594.0	43246.0	43653.0	43756.0	44097.0
Austria	31587.0	32192.0	32442.0	32368.0	32951.0	33659.0	34520.0	35057.0	36218.0	37059.0	38502.0	38644.0	39405.0	39716.0	40597.0	41196.0	42600.0	43896.0	44815.0	42640.0	43700.0	44603.0	44597.0	44420.0	44306.0	43822.0	44621.0	45375.0	46231.0
Azerbaijan	8710.0	8514.0	6489.0	4975.0	3940.0	3430.0	3415.0	3606.0	3928.0	4162.0	4426.0	4816.0	5209.0	5689.0	6028.0	7184.0	9329.0	11155.0	12858.0	14628.0	15425.0	14676.0	15056.0	15846.0	16444.0	16259.0	15146.0	15312.0	15240.0
Bahamas	29469.0	27683.0	26858.0	26089.0	26432.0	31405.0	34558.0	28504.0	29326.0	31477.0	32303.0	32448.0	32837.0	31999.0	31779.0	32139.0	32259.0	32076.0	31323.0	29258.0	29085.0	28953.0	29753.0	29372.0	28661.0	28763.0	27791.0	28067.0	28395.0
Bahrain	29850.0	40166.0	40370.0	42512.0	41106.0	43105.0	43978.0	42635.0	43808.0	43385.0	44495.0	43081.0	41877.0	42112.0	42161.0	42760.0	42375.0	42696.0	41154.0	37214.0	37246.0	35445.0	36153.0	37643.0	36619.0	42125.0	41499.0	41645.0	40399.0
Bangladesh	1358.0	1374.0	1420.0	1458.0	1490.0	1531.0	1559.0	1598.0	1646.0	1691.0	1750.0	1801.0	1852.0	1907.0	1982.0	2082.0	2218.0	2362.0	2501.0	2603.0	2723.0	2861.0	3025.0	3158.0	3270.0	3439.0	3620.0	3792.0	4057.0
Barbados	13806.0	13255.0	12347.0	12389.0	12786.0	12930.0	13344.0	13992.0	14457.0	14372.0	14922.0	14445.0	14476.0	14688.0	14962.0	15311.0	15834.0	16405.0	16160.0	15601.0	15874.0	15281.0	15733.0	15617.0	15580.0	15635.0	15881.0	16033.0	15912.0
Belarus	8360.0	8255.0	7447.0	6865.0	6062.0	5443.0	5620.0	6271.0	6829.0	7103.0	7549.0	7943.0	8410.0	9088.0	10195.0	11237.0	12387.0	13446.0	14809.0	14764.0	15978.0	16815.0	17069.0	17006.0	17370.0	16450.0	15997.0	16542.0	17039.0
Belgium	30781.0	31342.0	31688.0	31564.0	32720.0	33350.0	33854.0	35061.0	35678.0	36822.0	38152.0	38062.0	38510.0	38714.0	39735.0	40281.0	41091.0	42179.0	42589.0	40410.0	42385.0	41700.0	42125.0	41688.0	41632.0	41598.0	42260.0	43300.0	43821.0
Belize	4977.0	5441.0	5953.0	6195.0	6004.0	5932.0	5802.0	5834.0	5755.0	5984.0	6476.0	6502.0	6675.0	7000.0	7000.0	7054.0	7188.0	6916.0	7002.0	7266.0	7109.0	7318.0	7274.0	7185.0	7235.0	7523.0	7272.0	7059.0	7136.0
Benin	1432.0	1449.0	1409.0	1470.0	1443.0	1482.0	1500.0	1549.0	1577.0	1615.0	1659.0	1694.0	1713.0	1718.0	1743.0	1730.0	1743.0	1791.0	1838.0	1823.0	1805.0	1817.0	1840.0	1919.0	1988.0	1971.0	2001.0	2055.0	2135.0
Bhutan	2207.0	2126.0	2160.0	2237.0	2423.0	2447.0	2584.0	2749.0	2648.0	2723.0	3429.0	3635.0	3887.0	4075.0	4239.0	4511.0	4807.0	5552.0	5678.0	5917.0	6435.0	6814.0	6961.0	7096.0	7410.0	7807.0	8202.0	8472.0	8609.0
Bolivia	3530.0	3662.0	3688.0	3764.0	3879.0	3976.0	4075.0	4205.0	4354.0	4268.0	4279.0	4273.0	4296.0	4280.0	4344.0	4476.0	4626.0	4743.0	4975.0	5028.0	5111.0	5257.0	5360.0	5627.0	5932.0	6260.0	6535.0	6640.0	6849.0
Bosnia and Herzegovina	1343.0	1243.0	1199.0	1216.0	1281.0	1594.0	3239.0	4469.0	6595.0	6962.0	7024.0	7235.0	7491.0	7692.0	8035.0	8686.0	9057.0	9599.0	10214.0	9969.0	9923.0	10057.0	10127.0	10603.0	10858.0	11351.0	11810.0	12220.0	12690.0
Botswana	8270.0	8989.0	9082.0	9371.0	8495.0	9249.0	9131.0	9897.0	10223.0	10225.0	10056.0	10283.0	9663.0	10319.0	10266.0	10725.0	11468.0	12293.0	12834.0	12128.0	12673.0	14036.0	14576.0	15326.0	15817.0	15414.0	15353.0	15596.0	15951.0
Brazil	10082.0	10089.0	9905.0	10142.0	10368.0	10901.0	10835.0	10973.0	10707.0	10518.0	11090.0	11051.0	11223.0	11232.0	11762.0	12007.0	12394.0	13061.0	13547.0	13424.0	14194.0	14670.0	14892.0	15351.0	15177.0	14490.0	13907.0	13975.0	14068.0
Brunei	85147.0	85355.0	86908.0	84763.0	85081.0	86600.0	86896.0	83605.0	81266.0	81932.0	82508.0	83059.0	84596.0	85449.0	84413.0	83421.0	85879.0	85361.0	82688.0	80279.0	80394.0	80283.0	80203.0	78725.0	76778.0	79110.0	77492.0	77188.0	76389.0
Bulgaria	8518.0	7743.0	7940.0	7880.0	8035.0	8271.0	8307.0	8282.0	8964.0	8293.0	8642.0	9372.0	10327.0	10901.0	11643.0	12461.0	13065.0	13447.0	14811.0	14715.0	14975.0	15184.0	15570.0	15596.0	16193.0	16662.0	17757.0	18874.0	19646.0
Burkina Faso	845.0	897.0	875.0	879.0	865.0	893.0	971.0	1000.0	1044.0	1089.0	1069.0	1109.0	1127.0	1180.0	1197.0	1266.0	1310.0	1340.0	1395.0	1393.0	1389.0	1418.0	1494.0	1538.0	1538.0	1545.0	1582.0	1640.0	1705.0
Burundi	1014.0	1045.0	1030.0	949.0	895.0	812.0	735.0	719.0	748.0	727.0	729.0	707.0	717.0	683.0	689.0	682.0	702.0	704.0	716.0	714.0	730.0	733.0	746.0	761.0	767.0	715.0	689.0	670.0	660.0
Cape Verde	1688.0	1665.0	1797.0	1896.0	2191.0	2428.0	2631.0	2864.0	3148.0	3420.0	3795.0	3872.0	3956.0	4082.0	4424.0	4593.0	4865.0	5648.0	5918.0	5776.0	5680.0	5863.0	5832.0	5850.0	5721.0	5782.0	5989.0	6164.0	6513.0
Cambodia	1381.0	1428.0	1480.0	1502.0	915.0	1084.0	1106.0	1133.0	1148.0	1250.0	1338.0	1414.0	1466.0	1573.0	1704.0	1888.0	2062.0	2255.0	2354.0	2313.0	2410.0	2534.0	2657.0	2836.0	2959.0	3085.0	3248.0	3418.0	3597.0
Cameroon	2889.0	2642.0	2517.0	2255.0	2226.0	2237.0	2271.0	2324.0	2396.0	2440.0	2413.0	2432.0	2492.0	2599.0	2735.0	2704.0	2762.0	2792.0	2830.0	2847.0	2848.0	2884.0	2919.0	2982.0	3108.0	3178.0	3229.0	3250.0	3291.0
Canada	30384.0	29469.0	29310.0	29820.0	30767.0	31302.0	31510.0	32608.0	33524.0	34963.0	36681.0	36862.0	37676.0	38021.0	38934.0	39837.0	40655.0	41136.0	41093.0	39347.0	39996.0	40880.0	41199.0	41818.0	42546.0	42567.0	42691.0	43496.0	43602.0
Central African Republic	968.0	942.0	858.0	833.0	841.0	882.0	823.0	849.0	865.0	885.0	839.0	862.0	874.0	815.0	840.0	834.0	856.0	880.0	878.0	947.0	987.0	1020.0	1068.0	681.0	679.0	706.0	732.0	756.0	777.0
Chad	1096.0	1165.0	1224.0	962.0	1055.0	1036.0	1021.0	1037.0	1084.0	1038.0	978.0	1050.0	1074.0	976.0	1334.0	1514.0	1453.0	1493.0	1444.0	1669.0	1850.0	1805.0	1902.0	1899.0	1971.0	1999.0	1836.0	1736.0	1716.0
Chile	8611.0	9141.0	10081.0	10638.0	10890.0	11736.0	12421.0	13182.0	13675.0	13379.0	13844.0	14168.0	14383.0	14514.0	15033.0	15611.0	15642.0	16410.0	17598.0	17299.0	17989.0	19112.0	20247.0	20960.0	21300.0	21653.0	21776.0	21415.0	21972.0
China	1530.0	1649.0	1857.0	2085.0	2331.0	2522.0	2747.0	2978.0	3167.0	3389.0	3651.0	3918.0	4263.0	4678.0	5137.0	5665.0	6381.0	7281.0	7974.0	8613.0	9458.0	10259.0	11090.0	11823.0	12742.0	13485.0	14311.0	15212.0	16127.0
Colombia	7392.0	7434.0	7617.0	7945.0	8331.0	8613.0	8601.0	8737.0	8683.0	8193.0	8254.0	8239.0	8300.0	8439.0	8756.0	9131.0	9612.0	10100.0	10254.0	10305.0	10567.0	11151.0	11538.0	11996.0	12513.0	12951.0	13087.0	12963.0	12896.0
Comoros	2576.0	2368.0	2520.0	2510.0	2305.0	2325.0	2229.0	2257.0	2222.0	2211.0	2391.0	2389.0	2378.0	2369.0	2355.0	2367.0	2374.0	2345.0	2372.0	2391.0	2424.0	2463.0	2479.0	2534.0	2529.0	2504.0	2504.0	2515.0	2426.0
Republic of the Congo	5976.0	6060.0	6307.0	5676.0	5506.0	4001.0	4024.0	4484.0	5178.0	4034.0	3564.0	3998.0	4054.0	3940.0	3613.0	2975.0	2674.0	3131.0	3614.0	4068.0	4051.0	3976.0	4742.0	5108.0	5942.0	7631.0	6765.0	6068.0	5804.0
Democratic Republic of the Congo	2054.0	1684.0	1550.0	1330.0	729.0	696.0	725.0	664.0	642.0	579.0	565.0	522.0	531.0	548.0	564.0	572.0	589.0	602.0	602.0	614.0	634.0	648.0	665.0	669.0	712.0	749.0	794.0	787.0	800.0
Costa Rica	7377.0	7509.0	8009.0	8372.0	8645.0	8742.0	8681.0	8942.0	9246.0	9239.0	9313.0	9467.0	9626.0	9888.0	10217.0	10520.0	11226.0	12022.0	12502.0	12049.0	12485.0	12850.0	13339.0	13408.0	13648.0	13952.0	14393.0	14619.0	14790.0
Croatia	14413.0	11436.0	10042.0	9329.0	9979.0	12742.0	13650.0	14668.0	14861.0	14585.0	15316.0	16477.0	17372.0	18032.0	19033.0	19692.0	20598.0	21755.0	22037.0	20348.0	20177.0	20192.0	19737.0	19888.0	19960.0	20890.0	21216.0	22426.0	23061.0
Cuba	4920.0	4372.0	3856.0	3261.0	3266.0	3308.0	3558.0	3642.0	3637.0	3844.0	4047.0	4182.0	4233.0	4381.0	4618.0	5138.0	5770.0	6156.0	6400.0	6428.0	6601.0	6821.0	7022.0	7208.0	7258.0	7567.0	7597.0	7726.0	7811.0
Cyprus	22853.0	22430.0	23807.0	23422.0	24226.0	24254.0	24222.0	24348.0	27786.0	26406.0	26855.0	28026.0	29381.0	30101.0	30670.0	31873.0	32716.0	33342.0	35274.0	32678.0	32881.0	33145.0	30718.0	28727.0	28908.0	31057.0	31358.0	32219.0	33100.0
Czechia	20121.0	17774.0	17803.0	17759.0	18272.0	19080.0	19789.0	19701.0	19644.0	19865.0	20752.0	21241.0	21468.0	22284.0	23059.0	24572.0	25777.0	26958.0	27441.0	25796.0	26237.0	26617.0	26761.0	26672.0	27119.0	28498.0	29211.0	30530.0	31597.0
Ivory Coast	2806.0	2759.0	2686.0	2579.0	2600.0	2704.0	2865.0	2925.0	3025.0	2975.0	2713.0	2590.0	2462.0	2311.0	2402.0	2580.0	2559.0	2548.0	2562.0	2580.0	2573.0	2398.0	2609.0	2741.0	2962.0	3126.0	3387.0	3426.0	3589.0
Denmark	32832.0	33151.0	33764.0	33822.0	35550.0	36598.0	37386.0	38503.0	39365.0	40538.0	41414.0	41935.0	42090.0	42283.0	43731.0	44929.0	46716.0	46609.0	46379.0	43817.0	44726.0	45340.0	45340.0	45983.0	46714.0	47213.0	47729.0	48338.0	48836.0
Djibouti	1919.0	1819.0	1877.0	1970.0	1881.0	1969.0	1824.0	1858.0	1801.0	1845.0	1822.0	1805.0	1837.0	1966.0	2022.0	2048.0	2303.0	2365.0	2415.0	2451.0	2494.0	2562.0	2638.0	2823.0	3003.0	3231.0	3431.0	3469.0	3601.0
Dominica	6484.0	6505.0	6648.0	6801.0	6674.0	6823.0	6933.0	7184.0	7568.0	7394.0	7251.0	7608.0	7294.0	7772.0	7873.0	7999.0	8730.0	9197.0	9916.0	9921.0	10074.0	10027.0	9746.0	9777.0	10163.0	9804.0	10179.0	9218.0	9245.0
Dominican Republic	5278.0	5204.0	5734.0	5946.0	6033.0	6263.0	6572.0	7037.0	7381.0	7683.0	7930.0	8007.0	8251.0	7829.0	7776.0	8665.0	9373.0	9927.0	10265.0	10233.0	10955.0	11137.0	11290.0	11613.0	12334.0	13127.0	13801.0	14197.0	15074.0
Ecuador	6878.0	7110.0	7193.0	7249.0	7420.0	7450.0	7395.0	7584.0	7641.0	6969.0	6897.0	7170.0	7372.0	7425.0	7873.0	8197.0	8447.0	8485.0	9013.0	8951.0	9168.0	9727.0	10136.0	10482.0	10702.0	10524.0	10208.0	10220.0	10141.0
Egypt	5750.0	5874.0	5999.0	6045.0	6156.0	6322.0	6512.0	6733.0	6991.0	7238.0	7545.0	7676.0	7725.0	7809.0	7986.0	8119.0	8590.0	9076.0	9547.0	9734.0	9828.0	9727.0	9750.0	9712.0	9793.0	10069.0	10323.0	10473.0	10744.0
El Salvador	4385.0	4387.0	4674.0	4887.0	5076.0	5260.0	5235.0	5326.0	5424.0	5435.0	5480.0	5490.0	5520.0	5538.0	5553.0	5676.0	5937.0	6026.0	6168.0	5951.0	6096.0	6295.0	6373.0	6454.0	6534.0	6645.0	6745.0	6832.0	6973.0
Equatorial Guinea	1424.0	1399.0	1855.0	1956.0	1849.0	1902.0	2958.0	7721.0	8211.0	10591.0	9269.0	9046.0	11720.0	10477.0	12505.0	21113.0	26834.0	30141.0	29473.0	29598.0	21716.0	22402.0	23988.0	23247.0	22773.0	23456.0	21365.0	19494.0	17796.0
Eritrea	895.0	996.0	1533.0	1754.0	2146.0	2250.0	2408.0	2617.0	2678.0	2648.0	2484.0	2598.0	2548.0	2359.0	2281.0	2265.0	2177.0	2153.0	1895.0	1932.0	1941.0	2084.0	1572.0	1613.0	1626.0	1633.0	1627.0	1670.0	1708.0
Estonia	15020.0	13965.0	11494.0	10529.0	10535.0	11443.0	12174.0	13292.0	14075.0	13934.0	15180.0	16115.0	17204.0	18442.0	19785.0	21972.0	24054.0	25555.0	24619.0	21516.0	21539.0	23313.0	24661.0	25678.0	26334.0	27001.0	27915.0	29320.0	30379.0
Swaziland	5927.0	5914.0	5978.0	5855.0	5593.0	6092.0	6391.0	6468.0	6256.0	6458.0	6286.0	6598.0	6430.0	6513.0	6864.0	7662.0	7665.0	8015.0	7917.0	7825.0	7819.0	8317.0	8663.0	9288.0	9331.0	9362.0	9457.0	9396.0	9359.0
Ethiopia	651.0	584.0	514.0	558.0	556.0	573.0	626.0	622.0	585.0	599.0	617.0	650.0	640.0	608.0	673.0	734.0	792.0	861.0	928.0	980.0	1071.0	1159.0	1224.0	1316.0	1410.0	1512.0	1612.0	1714.0	1782.0
Fiji	5683.0	5517.0	5758.0	5796.0	5920.0	6162.0	6429.0	6191.0	6114.0	6603.0	6807.0	6728.0	7047.0	7056.0	7412.0	7536.0	7216.0	7208.0	7184.0	7165.0	7125.0	7293.0	7331.0	7812.0	8016.0	8391.0	8588.0	8799.0	9110.0
Finland	28133.0	26110.0	24833.0	24381.0	25523.0	26722.0	27824.0	29720.0	31096.0	32739.0	34658.0	35692.0	36333.0	36626.0	38468.0	39285.0	40934.0	42604.0	42656.0	39370.0	40389.0	40868.0	40120.0	39563.0	39372.0	39473.0	40609.0	41142.0	41779.0
France	29573.0	29692.0	30056.0	29766.0	30307.0	30836.0	31323.0	32057.0	33115.0	34307.0	35261.0	35779.0	35655.0	35796.0	36558.0	37005.0	37751.0	38425.0	38379.0	37135.0	37674.0	38436.0	38194.0	38240.0	38397.0	38668.0	38926.0	39935.0	40511.0
Gabon	19368.0	20053.0	18489.0	18512.0	19119.0	19311.0	19454.0	19913.0	20875.0	18165.0	16125.0	17023.0	17194.0	16870.0	15552.0	16335.0	14626.0	14715.0	13543.0	14200.0	13960.0	13814.0	15005.0	15519.0	16906.0	16336.0	16339.0	16213.0	15794.0
Gambia	1329.0	1393.0	1395.0	1394.0	1354.0	1331.0	1320.0	1328.0	1332.0	1366.0	1393.0	1417.0	1312.0	1373.0	1440.0	1383.0	1353.0	1369.0	1414.0	1454.0	1503.0	1390.0	1429.0	1468.0	1409.0	1446.0	1416.0	1437.0	1490.0
